date,Unnamed: 0,impressions,date,reach,comments,likes
2021-10-09,278,210,2021-10-09,84,0.0,0.0
2021-10-11,281,704,2021-10-11,515,0.0,0.0
2021-10-12,282,366,2021-10-12,290,0.0,0.0
2021-10-13,283,161,2021-10-13,122,0.0,0.0
2021-10-14,284,72,2021-10-14,66,0.0,0.0
2021-10-15,285,543,2021-10-15,429,0.0,0.0
2021-10-16,286,267,2021-10-16,211,0.0,0.0
2021-10-18,289,94,2021-10-18,34,0.0,0.0
2021-10-19,290,935,2021-10-19,731,0.0,0.0
2021-10-20,291,256,2021-10-20,215,0.0,0.0
2021-10-21,292,296,2021-10-21,263,0.0,0.0
2021-10-22,293,117,2021-10-22,90,0.0,0.0
2021-10-23,294,80,2021-10-23,66,0.0,0.0
2021-10-25,297,319,2021-10-25,231,0.0,0.0
2021-10-26,298,94,2021-10-26,61,0.0,0.0
2021-10-27,299,1552,2021-10-27,1440,0.0,0.0
2021-10-28,300,850,2021-10-28,643,0.0,0.0
2021-10-29,301,190,2021-10-29,91,0.0,0.0
2021-10-30,302,98,2021-10-30,37,0.0,0.0
2021-11-01,305,536,2021-11-01,360,0.0,0.0
2021-11-02,306,713,2021-11-02,409,0.0,0.0
2021-11-03,307,762,2021-11-03,531,0.0,0.0
2021-11-04,308,357,2021-11-04,283,0.0,0.0
2021-11-05,309,141,2021-11-05,108,0.0,0.0
2021-11-06,310,63,2021-11-06,42,0.0,0.0
2021-11-08,313,498,2021-11-08,426,0.0,0.0
2021-11-09,314,181,2021-11-09,166,0.0,0.0
2021-11-10,315,116,2021-11-10,87,0.0,0.0
2021-11-11,316,360,2021-11-11,286,0.0,0.0
2021-11-12,317,347,2021-11-12,296,0.0,0.0
2021-11-13,318,117,2021-11-13,58,0.0,0.0
2021-11-15,321,822,2021-11-15,443,0.0,0.0
2021-11-16,322,900,2021-11-16,270,0.0,0.0
2021-11-17,323,143,2021-11-17,101,0.0,0.0
2021-11-18,324,303,2021-11-18,32,0.0,0.0
2021-11-19,325,32,2021-11-19,24,0.0,0.0
2021-11-20,326,53,2021-11-20,29,0.0,0.0
2021-11-22,329,395,2021-11-22,329,0.0,0.0
2021-11-23,330,1024,2021-11-23,917,0.0,0.0
2021-11-24,331,180,2021-11-24,145,0.0,0.0
2021-11-25,332,497,2021-11-25,395,0.0,0.0
2021-11-26,333,176,2021-11-26,99,0.0,0.0
2021-11-27,334,50,2021-11-27,46,0.0,0.0
2021-11-29,337,64,2021-11-29,31,0.0,0.0
2021-11-30,338,242,2021-11-30,47,0.0,0.0
2021-12-01,339,1283,2021-12-01,1071,0.0,0.0
2021-12-02,340,321,2021-12-02,254,0.0,0.0
2021-12-03,341,303,2021-12-03,243,0.0,0.0
2021-12-04,342,160,2021-12-04,87,0.0,0.0
2021-12-06,345,245,2021-12-06,123,0.0,0.0
2021-12-07,346,241,2021-12-07,132,0.0,0.0
2021-12-08,347,76,2021-12-08,49,0.0,0.0
2021-12-09,348,76,2021-12-09,48,0.0,0.0
2021-12-10,349,406,2021-12-10,317,0.0,0.0
2021-12-11,350,212,2021-12-11,33,0.0,0.0
2021-12-13,353,388,2021-12-13,302,0.0,0.0
2021-12-14,354,589,2021-12-14,315,0.0,0.0
2021-12-15,355,141,2021-12-15,111,0.0,0.0
2021-12-16,356,1000,2021-12-16,819,0.0,0.0
2021-12-17,357,159,2021-12-17,138,0.0,0.0
2021-12-18,358,69,2021-12-18,56,0.0,0.0
2021-12-20,361,930,2021-12-20,465,0.0,0.0
2021-12-21,362,776,2021-12-21,429,0.0,0.0
2021-12-22,363,476,2021-12-22,232,0.0,0.0
2021-12-23,364,131,2021-12-23,103,0.0,0.0
2021-12-24,365,62,2021-12-24,40,0.0,0.0
2021-12-25,366,73,2021-12-25,34,0.0,0.0
2021-12-27,369,62,2021-12-27,39,0.0,0.0
2021-12-28,370,89,2021-12-28,34,0.0,0.0
2021-12-29,371,31,2021-12-29,21,0.0,0.0
2021-12-30,372,43,2021-12-30,32,0.0,0.0
2021-12-31,373,68,2021-12-31,21,0.0,0.0
2022-01-01,374,57,2022-01-01,26,0.0,0.0
2022-01-03,377,245,2022-01-03,42,0.0,0.0
2022-01-04,378,249,2022-01-04,210,0.0,0.0
2022-01-05,379,66,2022-01-05,27,0.0,0.0
2022-01-06,380,50,2022-01-06,25,0.0,0.0
2022-01-07,381,65,2022-01-07,21,0.0,0.0
2022-01-08,382,102,2022-01-08,34,0.0,0.0
2022-01-10,385,44,2022-01-10,31,0.0,0.0
2022-01-11,386,37,2022-01-11,22,0.0,0.0
2022-01-12,387,770,2022-01-12,639,0.0,0.0
2022-01-13,388,133,2022-01-13,122,0.0,0.0
2022-01-14,389,704,2022-01-14,537,0.0,0.0
2022-01-15,390,225,2022-01-15,142,0.0,0.0
2022-01-17,393,100,2022-01-17,54,0.0,0.0
