,impressions,date,reach
312,1541,2021-12-09,975
313,1644,2021-12-10,992
314,1696,2021-12-11,948
315,1301,2021-12-12,668
316,1444,2021-12-13,785
317,1792,2021-12-14,914
318,1857,2021-12-15,961
319,2781,2021-12-16,1426
320,2534,2021-12-17,1358
321,2391,2021-12-18,1380
322,2397,2021-12-19,1378
323,2939,2021-12-20,1448
324,3126,2021-12-21,1464
325,3461,2021-12-22,1497
326,2592,2021-12-23,1074
327,2495,2021-12-24,1021
328,2499,2021-12-25,1008
329,2500,2021-12-26,995
330,1632,2021-12-27,814
331,945,2021-12-28,481
332,500,2021-12-29,286
333,412,2021-12-30,220
334,418,2021-12-31,200
335,402,2022-01-01,192
336,396,2022-01-02,191
337,579,2022-01-03,191
338,739,2022-01-04,353
339,774,2022-01-05,363
340,781,2022-01-06,356
341,778,2022-01-07,354
342,823,2022-01-08,362
343,865,2022-01-09,372
344,664,2022-01-10,366
345,452,2022-01-11,188
346,1156,2022-01-12,807
347,1239,2022-01-13,889
348,1878,2022-01-14,1093
349,2001,2022-01-15,1150
350,2020,2022-01-16,1178
351,2076,2022-01-17,1196
352,2109,2022-01-18,1191
353,3228,2022-01-19,1835
354,3799,2022-01-20,1980
355,4443,2022-01-21,2213
356,5238,2022-01-22,2357
357,6266,2022-01-23,3028
358,7507,2022-01-24,3607
359,8259,2022-01-25,3913
360,6753,2022-01-26,3289
361,6211,2022-01-27,3187
362,4974,2022-01-28,2715
363,4008,2022-01-29,2566
364,2926,2022-01-30,1860
365,1778,2022-01-31,1168
366,1456,2022-02-01,898
367,1339,2022-02-02,843
368,1294,2022-02-03,814
369,1274,2022-02-04,834
370,1321,2022-02-05,838
371,1353,2022-02-06,849
372,1218,2022-02-07,831
373,838,2022-02-08,556
374,714,2022-02-09,412
375,715,2022-02-10,359
376,699,2022-02-11,330
377,690,2022-02-12,346
378,679,2022-02-13,344
379,669,2022-02-14,341
380,620,2022-02-15,335
381,536,2022-02-16,330
382,508,2022-02-17,320
383,553,2022-02-18,336
384,587,2022-02-19,374
385,586,2022-02-20,359
386,583,2022-02-21,356
387,807,2022-02-22,547
388,849,2022-02-23,580
389,904,2022-02-24,591
390,1180,2022-02-25,726
391,1369,2022-02-26,822
392,1442,2022-02-27,828
393,1737,2022-02-28,907
394,1778,2022-03-01,890
395,1875,2022-03-02,907
396,1877,2022-03-03,914
397,1518,2022-03-04,798
398,1781,2022-03-05,867
399,1986,2022-03-06,948
400,1895,2022-03-07,873
401,1730,2022-03-08,747
402,1767,2022-03-09,679
403,1942,2022-03-10,703
404,2069,2022-03-11,726
405,1932,2022-03-12,819
406,1800,2022-03-13,795
407,1646,2022-03-14,786
408,1511,2022-03-15,744
409,1676,2022-03-16,904
410,1532,2022-03-17,890
411,1481,2022-03-18,915
412,1110,2022-03-19,700
413,938,2022-03-20,667
414,1080,2022-03-21,775
415,1081,2022-03-22,782
416,1277,2022-03-23,864
417,1262,2022-03-24,875
418,1235,2022-03-25,857
419,1263,2022-03-26,840
420,1280,2022-03-27,838
421,1725,2022-03-28,1138
