,impressions,date,reach,comments,likes
247,2176,2021-10-05,909,0,0
248,2749,2021-10-06,1267,0,0
249,2670,2021-10-07,1358,0,0
250,2400,2021-10-08,1288,0,0
251,2247,2021-10-09,1189,0,0
252,2390,2021-10-10,1168,0,0
253,3017,2021-10-11,1341,0,0
254,3349,2021-10-12,1406,0,0
255,2800,2021-10-13,1194,0,0
256,2200,2021-10-14,1056,0,0
257,2308,2021-10-15,1085,0,0
258,2365,2021-10-16,1143,0,0
259,2204,2021-10-17,1150,0,0
260,1594,2021-10-18,951,0,0
261,2163,2021-10-19,1305,0,0
262,2258,2021-10-20,1362,0,0
263,2482,2021-10-21,1422,0,0
264,2056,2021-10-22,1247,0,0
265,1869,2021-10-23,1168,0,0
266,2516,2021-10-24,1418,0,0
267,2741,2021-10-25,1499,0,0
268,1900,2021-10-26,1096,0,0
269,3196,2021-10-27,2107,0,0
270,3750,2021-10-28,2491,0,0
271,3823,2021-10-29,2518,0,0
272,3841,2021-10-30,2511,0,0
273,3540,2021-10-31,2437,0,0
274,3757,2021-11-01,2484,0,0
275,4376,2021-11-02,2652,0,0
276,3586,2021-11-03,1860,0,0
277,3093,2021-11-04,1495,0,0
278,3044,2021-11-05,1493,0,0
279,3009,2021-11-06,1512,0,0
280,2642,2021-11-07,1347,0,0
281,2604,2021-11-08,1366,0,0
282,2072,2021-11-09,1242,0,0
283,1426,2021-11-10,974,0,0
284,1429,2021-11-11,936,0,0
285,1635,2021-11-12,1008,0,0
286,1689,2021-11-13,1029,0,0
287,2042,2021-11-14,1103,0,0
288,2366,2021-11-15,1079,0,0
289,3085,2021-11-16,1138,0,0
290,3112,2021-11-17,1136,0,0
291,3055,2021-11-18,1029,0,0
292,2740,2021-11-19,903,0,0
293,2676,2021-11-20,889,0,0
294,2313,2021-11-21,817,0,0
295,1886,2021-11-22,703,0,0
296,2010,2021-11-23,1358,0,0
297,2047,2021-11-24,1426,0,0
298,2241,2021-11-25,1569,0,0
299,2385,2021-11-26,1610,0,0
300,2382,2021-11-27,1610,0,0
301,2447,2021-11-28,1621,0,0
302,2116,2021-11-29,1418,0,0
303,1334,2021-11-30,747,0,0
304,2437,2021-12-01,1516,0,0
305,2261,2021-12-02,1554,0,0
306,2388,2021-12-03,1746,0,0
307,2498,2021-12-04,1787,0,0
308,2813,2021-12-05,1941,0,0
309,2994,2021-12-06,2003,0,0
310,2993,2021-12-07,2033,0,0
311,1786,2021-12-08,1164,0,0
312,1541,2021-12-09,975,0,0
313,1644,2021-12-10,992,0,0
314,1696,2021-12-11,948,0,0
315,1301,2021-12-12,668,0,0
316,1444,2021-12-13,785,0,0
317,1792,2021-12-14,914,0,0
318,1857,2021-12-15,961,0,0
319,2781,2021-12-16,1426,0,0
320,2534,2021-12-17,1358,0,0
321,2391,2021-12-18,1380,0,0
322,2397,2021-12-19,1378,0,0
323,2939,2021-12-20,1448,0,0
324,3126,2021-12-21,1464,0,0
325,3461,2021-12-22,1497,0,0
326,2592,2021-12-23,1074,0,0
327,2495,2021-12-24,1021,0,0
328,2499,2021-12-25,1008,0,0
329,2500,2021-12-26,995,0,0
330,1632,2021-12-27,814,0,0
331,945,2021-12-28,481,0,0
332,500,2021-12-29,286,0,0
333,412,2021-12-30,220,0,0
334,418,2021-12-31,200,0,0
335,402,2022-01-01,192,0,0
336,396,2022-01-02,191,0,0
337,579,2022-01-03,191,0,0
338,739,2022-01-04,353,0,0
339,774,2022-01-05,363,0,0
340,781,2022-01-06,356,0,0
341,778,2022-01-07,354,0,0
342,823,2022-01-08,362,0,0
343,865,2022-01-09,372,0,0
344,664,2022-01-10,366,0,0
345,452,2022-01-11,188,0,0
346,1156,2022-01-12,807,0,0
347,1239,2022-01-13,889,0,0
348,1878,2022-01-14,1093,0,0
349,2001,2022-01-15,1150,0,0
350,2020,2022-01-16,1178,0,0
351,2076,2022-01-17,1196,0,0
352,2109,2022-01-18,1191,0,0
353,3228,2022-01-19,1835,0,0
354,3799,2022-01-20,1980,0,0
355,4443,2022-01-21,2213,0,0
356,5238,2022-01-22,2357,0,0
357,6266,2022-01-23,3028,0,0
358,7507,2022-01-24,3607,0,0
359,8259,2022-01-25,3913,0,0
360,6753,2022-01-26,3289,0,0
361,6211,2022-01-27,3187,0,0
362,4974,2022-01-28,2715,0,0
363,4008,2022-01-29,2566,0,0
364,2926,2022-01-30,1860,0,0
365,1778,2022-01-31,1168,0,0
366,1456,2022-02-01,898,0,0
367,1339,2022-02-02,843,0,0
368,1294,2022-02-03,814,0,0
369,1274,2022-02-04,834,0,0
370,1321,2022-02-05,838,0,0
371,1353,2022-02-06,849,0,0
372,1218,2022-02-07,831,0,0
373,838,2022-02-08,556,0,0
374,714,2022-02-09,412,0,0
375,715,2022-02-10,359,0,0
376,699,2022-02-11,330,0,0
377,690,2022-02-12,346,0,0
378,679,2022-02-13,344,0,0
379,669,2022-02-14,341,0,0
380,620,2022-02-15,335,0,0
381,536,2022-02-16,330,0,0
382,508,2022-02-17,320,0,0
383,553,2022-02-18,336,0,0
384,587,2022-02-19,374,0,0
385,586,2022-02-20,359,0,0
386,583,2022-02-21,356,0,0
387,807,2022-02-22,547,0,0
388,849,2022-02-23,580,0,0
389,904,2022-02-24,591,0,0
390,1180,2022-02-25,726,0,0
391,1369,2022-02-26,822,0,0
392,1442,2022-02-27,828,0,0
393,1737,2022-02-28,907,0,0
394,1778,2022-03-01,890,0,0
395,1875,2022-03-02,907,0,0
396,1877,2022-03-03,914,0,0
397,1518,2022-03-04,798,0,0
398,1781,2022-03-05,867,0,0
399,1986,2022-03-06,948,0,0
400,1895,2022-03-07,873,0,0
401,1730,2022-03-08,747,0,0
402,1767,2022-03-09,679,0,0
403,1942,2022-03-10,703,0,0
404,2069,2022-03-11,726,0,0
405,1932,2022-03-12,819,0,0
406,1800,2022-03-13,795,0,0
407,1646,2022-03-14,786,0,0
408,1511,2022-03-15,744,0,0
409,1676,2022-03-16,904,0,0
410,1532,2022-03-17,890,0,0
411,1481,2022-03-18,915,0,0
412,1110,2022-03-19,700,0,0
413,938,2022-03-20,667,0,0
414,1080,2022-03-21,775,0,0
415,1081,2022-03-22,782,0,0
416,1277,2022-03-23,864,0,0
417,1262,2022-03-24,875,0,0
418,1235,2022-03-25,857,0,0
419,1263,2022-03-26,840,0,0
420,1280,2022-03-27,838,0,0
421,1725,2022-03-28,1138,0,0
422,1769,2022-03-29,1148,0,0
423,1218,2022-03-30,792,0,0
424,1143,2022-03-31,703,0,0
425,1218,2022-04-01,707,0,0
426,1190,2022-04-02,710,0,0
427,1190,2022-04-03,717,0,0
428,563,2022-04-04,295,0,0
429,527,2022-04-05,285,0,0
430,515,2022-04-06,276,0,0
431,465,2022-04-07,259,0,0
432,988,2022-04-08,760,0,0
433,1066,2022-04-09,855,0,0
434,1085,2022-04-10,878,0,0
435,1104,2022-04-11,884,0,0
436,1219,2022-04-12,939,0,0
437,1240,2022-04-13,951,0,0
438,1250,2022-04-14,955,0,0
439,630,2022-04-15,438,0,0
440,557,2022-04-16,360,0,0
441,906,2022-04-17,660,0,0
442,1138,2022-04-18,864,0,0
443,1127,2022-04-19,870,0,0
444,1200,2022-04-20,915,0,0
445,1212,2022-04-21,934,0,0
446,1226,2022-04-22,974,0,0
447,1207,2022-04-23,971,0,0
448,821,2022-04-24,649,0,0
449,1045,2022-04-25,736,0,0
450,995,2022-04-26,710,0,0
451,924,2022-04-27,702,0,0
452,1465,2022-04-28,942,0,0
453,1668,2022-04-29,1038,0,0
454,1718,2022-04-30,1059,0,0
455,1719,2022-05-01,1056,0,0
456,1225,2022-05-02,858,0,0
457,1183,2022-05-03,813,0,0
458,1154,2022-05-04,801,0,0
459,745,2022-05-05,478,0,0
460,497,2022-05-06,268,0,0
461,438,2022-05-07,200,0,0
462,435,2022-05-08,198,0,0
463,634,2022-05-09,323,0,0
464,862,2022-05-10,383,0,0
465,917,2022-05-11,420,0,0
466,921,2022-05-12,499,0,0
467,944,2022-05-13,511,0,0
468,947,2022-05-14,522,0,0
469,1071,2022-05-15,565,0,0
470,1215,2022-05-16,746,0,0
471,1417,2022-05-17,943,0,0
472,1920,2022-05-18,1076,0,0
473,1984,2022-05-19,1028,0,0
474,2054,2022-05-20,1014,0,0
475,2047,2022-05-21,1016,0,0
476,1905,2022-05-22,967,0,0
477,1568,2022-05-23,838,0,0
478,1140,2022-05-24,595,0,0
479,588,2022-05-25,283,0,0
480,381,2022-05-26,226,0,0
481,308,2022-05-27,204,0,0
482,640,2022-05-28,469,0,0
483,843,2022-05-29,604,0,0
484,922,2022-05-30,651,0,0
485,927,2022-05-31,665,0,0
486,933,2022-06-01,664,0,0
487,925,2022-06-02,656,0,0
488,902,2022-06-03,654,0,0
489,585,2022-06-04,422,0,0
490,434,2022-06-05,288,0,0
491,377,2022-06-06,219,0,0
492,358,2022-06-07,181,0,0
493,478,2022-06-08,185,0,0
494,447,2022-06-09,166,0,0
495,448,2022-06-10,170,0,0
496,418,2022-06-11,163,0,0
497,370,2022-06-12,158,0,0
498,327,2022-06-13,147,0,0
499,370,2022-06-14,157,0,0
500,269,2022-06-15,156,0,0
501,406,2022-06-16,170,0,0
502,777,2022-06-17,508,0,0
503,984,2022-06-18,619,0,0
504,1251,2022-06-19,733,0,0
505,1334,2022-06-20,769,0,0
506,1317,2022-06-21,772,0,0
507,1359,2022-06-22,766,0,0
508,1280,2022-06-23,751,0,0
509,937,2022-06-24,508,0,0
510,755,2022-06-25,438,0,0
511,492,2022-06-26,223,0,0
512,408,2022-06-27,160,0,0
513,381,2022-06-28,143,0,0
514,565,2022-06-29,365,0,0
515,576,2022-06-30,404,0,0
516,585,2022-07-01,424,0,0
517,575,2022-07-02,423,0,0
518,568,2022-07-03,415,0,0
519,605,2022-07-04,423,0,0
520,591,2022-07-05,420,0,0
521,620,2022-07-06,411,0,0
522,727,2022-07-07,537,0,0
523,754,2022-07-08,551,0,0
524,808,2022-07-09,548,0,0
525,827,2022-07-10,560,0,0
526,830,2022-07-11,572,0,0
527,840,2022-07-12,579,0,0
528,602,2022-07-13,356,0,0
529,628,2022-07-14,272,0,0
530,916,2022-07-15,518,1,5
531,941,2022-07-16,579,0,1
532,978,2022-07-17,609,0,2
533,982,2022-07-18,609,0,1
534,975,2022-07-19,607,1,2
535,944,2022-07-20,596,0,0
536,1165,2022-07-21,746,0,1
537,808,2022-07-22,490,0,4
538,734,2022-07-23,406,0,0
539,761,2022-07-24,384,0,4
540,733,2022-07-25,377,0,0
541,720,2022-07-26,368,0,0
542,743,2022-07-27,371,0,0
543,338,2022-07-28,144,0,0
544,393,2022-07-29,143,0,0
545,384,2022-07-30,145,0,0
546,292,2022-07-31,127,0,1
547,277,2022-08-01,128,0,0
548,298,2022-08-02,130,0,0
549,266,2022-08-03,129,0,1
550,270,2022-08-04,128,0,0
551,221,2022-08-05,136,0,0
552,230,2022-08-06,140,0,0
553,240,2022-08-07,151,0,0
554,302,2022-08-08,151,0,1
555,313,2022-08-09,156,0,1
556,395,2022-08-10,158,0,0
557,1175,2022-08-11,813,0,18
558,1530,2022-08-12,1150,0,7
559,1676,2022-08-13,1316,0,1
560,1826,2022-08-14,1398,0,0
561,1905,2022-08-15,1460,0,0
562,1914,2022-08-16,1474,0,0
563,1887,2022-08-17,1501,0,0
564,1106,2022-08-18,914,0,0
565,764,2022-08-19,584,0,0
566,589,2022-08-20,422,0,0
567,448,2022-08-21,271,0,0
568,461,2022-08-22,270,0,1
569,493,2022-08-23,273,0,0
570,451,2022-08-24,264,0,0
571,846,2022-08-25,507,0,8
572,991,2022-08-26,513,0,6
573,1088,2022-08-27,546,0,0
574,1115,2022-08-28,552,0,0
575,1037,2022-08-29,538,0,2
576,1123,2022-08-30,525,0,1
577,1129,2022-08-31,520,0,1
578,1228,2022-09-01,593,0,4
579,1169,2022-09-02,615,0,0
580,1131,2022-09-03,643,0,0
581,1177,2022-09-04,647,0,0
582,1130,2022-09-05,645,0,1
583,1576,2022-09-06,1073,0,14
584,2194,2022-09-07,1353,3,14
585,2051,2022-09-08,1273,0,5
586,2637,2022-09-09,1840,0,3
587,2680,2022-09-10,1865,0,1
588,2614,2022-09-11,1857,0,0
589,2627,2022-09-12,1855,0,0
590,2301,2022-09-13,1606,0,4
591,1751,2022-09-14,1297,0,0
592,1714,2022-09-15,1292,1,10
